Weight Vectors,Counts
"[0, 0, 0, 0, 0]",3
"[-0.01, -0.021751999999999997, 0.008091000000000001, -0.051022, 0.0067975]",2
"[-0.02, -0.0020849999999999966, -0.10996099999999999, -0.0469748, 0.0855165]",2
"[-0.01, -0.023759, -0.10871949999999998, -0.0574398, 0.0768957]",4
"[0.0, -0.041974, -0.08119849999999998, -0.0646659, 0.053365699999999995]",2
"[0.01, -0.101008, -0.015519499999999978, -0.0578998, -0.013431300000000014]",10
"[0.02, -0.121074, -0.08270949999999998, 0.03226219999999999, -0.012431450000000014]",4
"[0.03, -0.140864, -0.050408499999999974, 0.01868719999999999, -0.03825045000000002]",8
"[0.04, -0.13785589999999998, -0.048670399999999975, 0.001145199999999992, -0.03335835000000002]",19
"[0.05, -0.11754589999999998, -0.030150399999999973, -0.02897580000000001, -0.03332832000000002]",3
"[0.060000000000000005, -0.10074689999999997, 0.011917600000000028, -0.0743738, -0.05725932000000002]",3
"[0.07, -0.13216989999999998, -0.11844739999999998, 0.08239920000000002, -0.06387582000000003]",2
"[0.060000000000000005, -0.17019289999999998, -0.07975139999999997, 0.04195920000000002, -0.07341012000000002]",8
"[0.05, -0.17875029999999997, -0.07983407799999998, -0.02408279999999998, -0.06809972000000003]",3
"[0.060000000000000005, -0.17498659999999996, -0.08806987799999998, -0.01622849999999998, -0.06064732000000003]",10
"[0.05, -0.19503759999999998, -0.019431877999999972, -0.09754849999999998, -0.05824632000000003]",4
"[0.060000000000000005, -0.21308359999999998, -0.08757287799999997, -0.030529499999999973, -0.046565320000000035]",11
"[0.07, -0.20341279999999998, -0.04914687799999996, -0.07984349999999998, -0.08788832000000003]",9
"[0.08, -0.20514239999999997, -0.06096287799999996, -0.06602549999999999, -0.08055232000000004]",18
"[0.07, -0.21033739999999998, -0.02832987799999996, -0.09692049999999999, -0.07070332000000004]",18
"[0.08, -0.2284134, -0.11646087799999996, -0.009834499999999982, -0.07287152000000004]",11
"[0.07, -0.2539164, -0.06694287799999996, -0.07356349999999998, -0.06871192000000004]",2
"[0.060000000000000005, -0.24604739999999997, -0.16260587799999995, -0.03569649999999997, 0.006322079999999966]",9
"[0.07, -0.24309539999999996, -0.11374987799999994, -0.08718649999999997, -0.05600092000000004]",13
"[0.060000000000000005, -0.24638779999999996, -0.06919787799999995, -0.13290449999999998, -0.046112920000000036]",14
"[0.07, -0.2647788, -0.16008087799999995, -0.04048849999999998, -0.04715612000000004]",36
"[0.08, -0.24690379999999998, -0.11228087799999995, -0.09185049999999997, -0.07951812000000004]",5
"[0.09, -0.23678679999999996, -0.10325887799999994, -0.11535649999999997, -0.07524672000000004]",3
"[0.09999999999999999, -0.22170979999999996, -0.08366287799999994, -0.14594049999999997, -0.07647102000000004]",5
"[0.09, -0.21808189999999997, -0.16655787799999994, -0.12672749999999997, -0.04313902000000004]",13
"[0.09999999999999999, -0.20227189999999998, -0.15786697799999994, -0.14986549999999996, -0.03489782000000004]",7
"[0.10999999999999999, -0.18209489999999998, -0.13988497799999994, -0.17944649999999995, -0.032798820000000034]",6
"[0.11999999999999998, -0.21296089999999998, -0.20624697799999994, -0.07404149999999995, -0.041717020000000035]",3
"[0.12999999999999998, -0.2055542, -0.18894797799999993, -0.10600449999999995, -0.043174020000000035]",4
"[0.11999999999999998, -0.2169862, -0.15153497799999993, -0.16178149999999994, -0.03681622000000004]",66
"[0.12999999999999998, -0.1930692, -0.10596997799999994, -0.21166949999999995, -0.06580322000000004]",3
"[0.13999999999999999, -0.2098892, -0.17409097799999995, -0.14027149999999994, -0.052480220000000036]",86
"[0.12999999999999998, -0.203442, -0.12802897799999996, -0.22374149999999993, -0.025381220000000034]",2
"[0.13999999999999999, -0.24230000000000002, -0.25648997799999995, -0.09578449999999991, -0.05673422000000003]",2
"[0.15, -0.295312, -0.18257497799999994, -0.09548750999999991, -0.13072122000000003]",8
"[0.13999999999999999, -0.29860400000000004, -0.13802297799999996, -0.14120550999999992, -0.12083322000000002]",24
"[0.15, -0.293424, -0.13543647799999997, -0.1496140099999999, -0.11122142000000002]",49
"[0.13999999999999999, -0.27484000000000003, -0.21429647799999996, -0.13297100999999992, -0.09283742000000002]",12
"[0.15, -0.26132200000000005, -0.20370147799999996, -0.15640800999999993, -0.08883762000000002]",34
"[0.16, -0.2511280000000001, -0.19267247799999995, -0.17940800999999992, -0.08289812000000002]",7
"[0.15, -0.2563230000000001, -0.16003947799999996, -0.21030300999999993, -0.07304912000000002]",19
"[0.16, -0.2560208100000001, -0.17055147799999995, -0.19627900999999992, -0.06531222000000002]",84
"[0.15, -0.2612158100000001, -0.13791847799999996, -0.22717400999999993, -0.05546322000000002]",15
"[0.16, -0.2987188100000001, -0.272504478, -0.05124200999999992, -0.08323422000000003]",3
"[0.17, -0.2930956100000001, -0.262489478, -0.07396800999999992, -0.08329470600000002]",45
"[0.18000000000000002, -0.2862776100000001, -0.213985478, -0.12610100999999993, -0.14433770600000004]",1
"[0.17, -0.2846668100000001, -0.149361478, -0.20967400999999994, -0.12912170600000003]",12
"[0.18000000000000002, -0.3173588100000001, -0.276767478, -0.05410100999999995, -0.13053990600000004]",6
"[0.17, -0.3318378100000001, -0.227973478, -0.13752900999999995, -0.10945390600000005]",2
"[0.18000000000000002, -0.30989481000000013, -0.182470478, -0.18728900999999995, -0.13670790600000005]",19
"[0.19000000000000003, -0.29399081000000016, -0.160349478, -0.21847200999999994, -0.13788040600000004]",1
"[0.18000000000000002, -0.29918551000000015, -0.127716478, -0.24936700999999994, -0.12803120600000004]",1
"[0.19000000000000003, -0.3286835100000002, -0.210446478, -0.14672100999999993, -0.11640220600000004]",6
"[0.18000000000000002, -0.33574051000000016, -0.155465478, -0.23008900999999993, -0.08768720600000003]",2
"[0.19000000000000003, -0.35106251000000016, -0.206431478, -0.16331000999999992, -0.08593740600000004]",74
"[0.20000000000000004, -0.3337315100000002, -0.166887478, -0.21072200999999993, -0.11095440600000003]",22
"[0.19000000000000003, -0.32586251000000016, -0.262550478, -0.17285500999999992, -0.03592040600000003]",15
"[0.20000000000000004, -0.31078551000000015, -0.24295447799999997, -0.20343900999999992, -0.03714470600000003]",92
"[0.19000000000000003, -0.31598051000000016, -0.21032147799999998, -0.23433400999999993, -0.027295706000000027]",6
"[0.20000000000000004, -0.2986495100000002, -0.17077747799999998, -0.28174600999999994, -0.05231270600000003]",5
"[0.21000000000000005, -0.3166955100000002, -0.238918478, -0.21472700999999994, -0.04063170600000003]",88
"[0.22000000000000006, -0.2988205100000002, -0.19111847799999998, -0.26608900999999996, -0.07299370600000003]",6
"[0.23000000000000007, -0.3443515100000002, -0.31697247799999995, -0.11167200999999996, -0.08797670600000003]",10
"[0.22000000000000006, -0.3633185100000002, -0.29180947799999996, -0.13976500999999997, -0.08000250600000003]",14
"[0.23000000000000007, -0.3526815100000002, -0.25485247799999994, -0.18135900999999996, -0.09938150600000004]",29
"[0.24000000000000007, -0.3358825100000002, -0.21278447799999994, -0.22675700999999995, -0.12331250600000004]",28
"[0.23000000000000007, -0.3280135100000002, -0.30844747799999994, -0.18889000999999994, -0.04827850600000004]",19
"[0.24000000000000007, -0.3485425100000002, -0.27006247799999994, -0.19684440999999994, -0.060416506000000036]",4
